descriptor,folder,N,T,temperature_regime,fro_regime,graph_family,field_complexity,interaction_complexity,gamma_fro_norm,parameter_block,name,true,estimate,abs_error,squared_error,parameter_rmse,field_rmse,interaction_fro_error
N100_T10_high_temp_fro_small_shared_feature_field_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_known_graph_20260331_225803,100,10,high_temp,fro_small,complete,shared_feature_field,known_graph,1.0050378152592128,beta,beta,0.12,0.10994885864543841,0.010051141354561588,0.00010102544252937815,0.0967882251089505,0.09066629827427597,0.2440710827693977
N100_T10_high_temp_fro_small_shared_feature_field_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_known_graph_20260331_225803,100,10,high_temp,fro_small,complete,shared_feature_field,known_graph,1.0050378152592128,interaction,interaction::adjacency,0.15,-0.0928476611165609,0.2428476611165609,0.058974986509784,0.0967882251089505,0.09066629827427597,0.2440710827693977
N100_T10_high_temp_fro_small_shared_feature_field_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_known_graph_20260331_225803,100,10,high_temp,fro_small,complete,shared_feature_field,known_graph,1.0050378152592128,eta,eta,0.01,-0.007775732676588988,0.01777573267658899,0.0003159766721895535,0.0967882251089505,0.09066629827427597,0.2440710827693977
N100_T10_high_temp_fro_small_shared_feature_field_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_known_graph_20260331_225803,100,10,high_temp,fro_small,complete,shared_feature_field,known_graph,1.0050378152592128,zeta,zeta,-0.15,-0.06837445157792221,0.08162554842207778,0.006662730155204965,0.0967882251089505,0.09066629827427597,0.2440710827693977
N100_T10_high_temp_fro_small_shared_feature_field_known_graph,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_known_graph_20260331_225803,100,10,high_temp,fro_small,complete,shared_feature_field,known_graph,1.0050378152592128,psi,psi,0.05,0.06482322517050652,0.014823225170506521,0.00021972800445553808,0.0967882251089505,0.09066629827427597,0.2440710827693977
N100_T10_high_temp_fro_small_shared_feature_field_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_shared_feature_interactions_20260331_225805,100,10,high_temp,fro_small,complete,shared_feature_field,shared_feature_interactions,1.0050378152592128,field,field::intercept,0.175,0.2628593045867635,0.0878593045867635,0.007719257402469681,0.48988275542362597,0.11163989596378678,1.5290991446689866
N100_T10_high_temp_fro_small_shared_feature_field_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_shared_feature_interactions_20260331_225805,100,10,high_temp,fro_small,complete,shared_feature_field,shared_feature_interactions,1.0050378152592128,field,field::linear::feature_1,0.14,0.22299036825239543,0.08299036825239542,0.006887401222668201,0.48988275542362597,0.11163989596378678,1.5290991446689866
N100_T10_high_temp_fro_small_shared_feature_field_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_shared_feature_interactions_20260331_225805,100,10,high_temp,fro_small,complete,shared_feature_field,shared_feature_interactions,1.0050378152592128,field,field::quadratic::feature_1,-0.125,-0.08892434074061424,0.03607565925938576,0.0013014531909993055,0.48988275542362597,0.11163989596378678,1.5290991446689866
N100_T10_high_temp_fro_small_shared_feature_field_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_shared_feature_interactions_20260331_225805,100,10,high_temp,fro_small,complete,shared_feature_field,shared_feature_interactions,1.0050378152592128,field,field::linear::feature_2,0.007,0.03404093084299097,0.027040930842990973,0.0007312119408554205,0.48988275542362597,0.11163989596378678,1.5290991446689866
N100_T10_high_temp_fro_small_shared_feature_field_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_shared_feature_interactions_20260331_225805,100,10,high_temp,fro_small,complete,shared_feature_field,shared_feature_interactions,1.0050378152592128,field,field::quadratic::feature_2,0.125,0.2659584327563234,0.14095843275632342,0.01986927976511895,0.48988275542362597,0.11163989596378678,1.5290991446689866
