matrix_code,matrix_display_name,view_code,view_label,component_rank,singular_value,energy_share,cumulative_energy_share,next_singular_ratio
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,11,483.7242629557222,0.031375639737036824,0.7525021931853632,1.094836507854412
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,12,441.8232854727259,0.026175443462222052,0.7786776366475852,1.0391032690018247
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,13,425.19670436331774,0.024242456554855036,0.8029200932024402,1.0901299878759079
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,14,390.0422051427127,0.02039952489182989,0.8233196180942701,1.1190258754076197
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,15,348.55512612756587,0.016290701834689714,0.8396103199289598,1.0182861083296115
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,16,342.2958668260072,0.015710867169288916,0.8553211870982488,1.0202373862791783
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,17,335.506100275707,0.015093768636512246,0.870414955734761,1.0487097486285892
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,18,319.92274384256706,0.013724201265420647,0.8841391570001816,1.0435937300713625
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,19,306.5587063470478,0.012601555485158069,0.8967407124853397,1.0454932011090956
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,20,293.2192251674517,0.011528736952353812,0.9082694494376935,1.0720337902092283
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,21,273.5167751664099,0.010031474679940732,0.9183009241176342,1.0816388794924445
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,22,252.8725440183481,0.008574330157060923,0.9268752542746951,1.008044649615008
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,23,250.85450740195398,0.008438022214428704,0.9353132764891238,1.0549840011391396
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,24,237.78039015860804,0.007581391381180708,0.9428946678703045,1.0342057117862276
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,25,229.9159513902953,0.007088185150147734,0.9499828530204523,1.0464542620552555
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,26,219.709508314999,0.006472835215059981,0.9564556882355123,1.0928645439391285
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,27,201.0400186678914,0.005419533165851741,0.9618752214013641,1.0778066194354192
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,28,186.5269845653768,0.004665306544651287,0.9665405279460153,1.0030150538344698
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,29,185.96628620108413,0.004637300964924966,0.9711778289109403,1.0248314554342792
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,30,181.4603613257359,0.004415301747517139,0.9755931306584574,1.0667004240111697
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,31,170.11370506761492,0.003880390688232393,0.9794735213466899,1.0459110083221144
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,32,162.6464428752089,0.0035472025314764385,0.9830207238781663,1.0301458042649485
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,33,157.88681777067842,0.00334263217848863,0.9863633560566549,1.0274170422691697
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,34,153.67354372667117,0.0031666135010480355,0.989529969557703,1.0397000434834947
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,35,147.80565288022012,0.0029294017374359867,0.992459371295139,1.0589555618485114
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,36,139.5768228670623,0.0026123024841257472,0.9950716737792646,1.102547369934498
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,37,126.59485358470768,0.0021489630502490855,0.9972206368295137,1.083718510053004
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,38,116.81525452445764,0.001829767737024163,0.9990504045665378,1.4695971760693731
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,39,79.4879416119287,0.0008472261425628005,0.9998976307091006,2.9374325500708434
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,40,27.060346155016106,9.818915941643106e-05,0.999995819868517,5.052651058156736
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,41,5.355672862334575,3.846138589583059e-06,0.9999996660071067,3.4031793898634866
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,42,1.5737262861566077,3.3208957659692667e-07,0.9999999980966833,13.209065682984471
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,43,0.11913986378187486,1.9033166421370264e-09,0.9999999999999999,119139863781.87486
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,44,1.502917353134399e-13,3.0287752273902745e-33,0.9999999999999999,0.1502917353134399
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,45,7.748102853154565e-14,8.04984653515581e-34,0.9999999999999999,0.07748102853154566
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,46,4.6216284706412077e-14,2.8640916188151193e-34,0.9999999999999999,0.04621628470641208
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,47,2.6342983299533424e-14,9.305222446662413e-35,0.9999999999999999,0.026342983299533426
continuous_death,Continuous death-rate matrix,row_centered,Row-centered,48,6.870271560029062e-15,6.329139294395849e-36,0.9999999999999999,
continuous_death,Continuous death-rate matrix,row_column_centered,Row-and-column centered,1,1136.9702310486239,0.18541352125842966,0.18541352125842966,1.3498787356496917
continuous_death,Continuous death-rate matrix,row_column_centered,Row-and-column centered,2,842.2758289480012,0.10175409352595144,0.28716761478438113,1.1196986912163687
continuous_death,Continuous death-rate matrix,row_column_centered,Row-and-column centered,3,752.2343605072958,0.08116140350732952,0.36832901829171066,1.0942694576599703
continuous_death,Continuous death-rate matrix,row_column_centered,Row-and-column centered,4,687.430646301601,0.06777991082841402,0.43610892912012467,1.0310018966409662
continuous_death,Continuous death-rate matrix,row_column_centered,Row-and-column centered,5,666.7598270587763,0.06376495605341756,0.49987388517354225,1.0694578954646476
continuous_death,Continuous death-rate matrix,row_column_centered,Row-and-column centered,6,623.4558928279163,0.055751259421815504,0.5556251445953577,1.075758780302469
continuous_death,Continuous death-rate matrix,row_column_centered,Row-and-column centered,7,579.5498993302386,0.048175350563349484,0.6038004951587073,1.0646166929518341
continuous_death,Continuous death-rate matrix,row_column_centered,Row-and-column centered,8,544.3742364431054,0.042504835581011646,0.6463053307397189,1.0350519077606217
continuous_death,Continuous death-rate matrix,row_column_centered,Row-and-column centered,9,525.9390687186713,0.039674739163578644,0.6859800699032975,1.086579004320327
continuous_death,Continuous death-rate matrix,row_column_centered,Row-and-column centered,10,484.03205531074553,0.03360403761600855,0.7195841075193061,1.0952883064319208
continuous_death,Continuous death-rate matrix,row_column_centered,Row-and-column centered,11,441.9220514528804,0.02801138354063853,0.7475954910599446,1.029803373173031
