view_code,view_label,component_rank,singular_value,energy_share,cumulative_energy_share,next_singular_ratio,matrix_kind,outcome_code,intervention_code,requested_start_date,resolved_start_week_end_date,start_index,node_count,transition_weeks
raw,Raw,74,2.0773100309495126e-15,1.244977630386736e-35,1.0,0.0020773100309495127,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,75,2.007088974660798e-15,1.1622302161521406e-35,1.0,0.002007088974660798,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,76,1.7075383873278797e-15,8.412011610162134e-36,1.0,0.0017075383873278796,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,77,1.5709661443024332e-15,7.120206071793815e-36,1.0,0.0015709661443024333,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,78,1.467065830558183e-15,6.209521223251989e-36,1.0,0.001467065830558183,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,79,1.413675096079208e-15,5.7657807832277164e-36,1.0,0.001413675096079208,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,80,1.3472867252259211e-15,5.2369565793542814e-36,1.0,0.0013472867252259213,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,81,1.2680073543725822e-15,4.6387659061854994e-36,1.0,0.0012680073543725823,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,82,1.2275019660952404e-15,4.347136772648456e-36,1.0,0.0012275019660952405,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,83,1.1626368127886967e-15,3.899842354379445e-36,1.0,0.0011626368127886967,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,84,1.1006418045815706e-15,3.4950300972060145e-36,1.0,0.0011006418045815705,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
raw,Raw,85,1.0120562021514075e-15,2.9550727224059633e-36,1.0,0.0010120562021514075,intervention_z,death_rate_100k_ge_2,complete_cov_ge_20,2020-03-01,2020-03-01,5,3014,115
